	Train loss	Train improvement	Test loss	Test improvement
0	1.1461724042892456	41.53854250907898	3.7303075790405273	35.09055972099304
1	1.1008230447769165	43.85163187980652	3.792536497116089	34.00774300098419
2	1.1353057622909546	42.092812061309814	4.426110744476318	22.983194887638092
3	1.179236650466919	39.8520827293396	3.9651076793670654	31.004905700683594
4	1.2282928228378296	37.349933385849	3.998725175857544	30.41994273662567
5	1.0451546907424927	46.69103920459747	3.5807342529296875	37.693220376968384
6	0.931050717830658	52.511000633239746	4.377190113067627	23.834441602230072
7	0.9683292508125305	50.6095826625824	4.207555294036865	26.786181330680847
8	0.9573201537132263	51.1711061000824	4.081691265106201	28.976288437843323
9	1.4924070835113525	23.878571391105652	4.803125858306885	16.422921419143677
